Player1,Elo1,Player2,Elo2,Result
Girouzja,2767,Carlsen,2832,½–½
Carlsen,2832,Firouzja,2767,1 – 0
Firouzja,2767,Carlsen,2832,0 – 1
Carlsen,2832,Firouzja,2767,0 – 1
Carlsen,2832,Nepomniachtchi,2755,½–½
Nepomniachtchi,2755,Carlsen,2832,0 – 1
Nepomniachtchi,2755,Carlsen,2832,½–½
Carlsen,2832,Nepomniachtchi,2755,½–½
Nepomniachtchi,2755,Carlsen,2832,½–½
Gukesh,2764,Caruana,2798,1 – 0
Le,2741,Carlsen,2832,0 – 1
Gukesh,2764,Abdusattorov,2766,½–½
Carlsen,2832,Aronian,2729,½–½
Carlsen,2832,Aronian,2729,½–½
Aronian,2729,Carlsen,2832,0 – 1
Aronian,2729,Carlsen,2832,½–½
Gukesh,2764,Wei,2762,1 – 0
Erigaisi,2778,So,2752,½–½
So,2752,Erigaisi,2778,0 – 1
Erigaisi,2778,So,2752,½–½
So,2752,Erigaisi,2778,0 – 1
Erigaisi,2778,Dominguez Perez,2748,1 – 0
Abdusattorov,2766,Nepomniachtchi,2755,1 – 0
Abdusattorov,2766,Nepomniachtchi,2755,0 – 1
Nepomniachtchi,2755,Abdusattorov,2766,½–½
Ding,2736,Caruana,2798,½–½
So,2752,Wei,2762,1 – 0
Caruana,2798,Vachier Lagrave,2731,½–½
Keymer,2730,Caruana,2798,0 – 1
Caruana,2798,Keymer,2730,1 – 0
Keymer,2730,Caruana,2798,½–½
So,2752,Praggnanandhaa,2750,1 – 0
Abdusattorov,2766,Ding,2736,½–½
Abdusattorov,2766,Mamedyarov,2733,1 – 0
Mamedyarov,2733,Abdusattorov,2766,0 – 1
Abdusattorov,2766,Mamedyarov,2733,0 – 1
Caruana,2798,Rapport,2715,½–½
Abdusattorov,2766,Vachier Lagrave,2731,½–½
Firouzja,2767,Aronian,2729,1 – 0
Aronian,2729,Firouzja,2767,0 – 1
Nepomniachtchi,2755,Mamedyarov,2733,1 – 0
Mamedyarov,2733,Nepomniachtchi,2755,0 – 1
Nepomniachtchi,2755,Mamedyarov,2733,½–½
Nepomniachtchi,2755,Vachier Lagrave,2731,½–½
Vachier Lagrave,2731,Nepomniachtchi,2755,1 – 0
Carlsen,2832,Fedoseev,2692,0 – 1
Aronian,2729,So,2752,½–½
Maghsoodloo,2723,Gukesh,2764,0 – 1
Abdusattorov,2766,Rapport,2715,1 – 0
Abdusattorov,2766,Rapport,2715,1 – 0
